Date,Time,T,Per,Dec,Score,Point,W,Cloud,AMCO,AMCR,AMGO,AMRO,BAEA,BEKI,BGGN,BHCO,BHNU,BLHE,BLJA,BRCR,BRTH,BUFF,CACH,CAGO,CAWR,CEWA,CHSP,COGR,COHA,DCCO,DEJU,DOWO,EABL,EATO,EUST,FICR,GREG,HAWO,HETH,HOFI,HOGR,HOME,HOSP,HOWR,LAGU,MALL,MODO,NOCA,NOFL,NOMO,OSPR,PIWA,PIWO,RBGU,RBNU,RBWO,RCKI,RTHA,RWBL,SOSP,SWSP,TUTI,TUVU,WTSP,YBSA,YCNH,YRWA,s.AMCR,s.AMGO,s.AMRO,s.BEKI,s.BGGN,s.BHCO,s.BHNU,s.BRCR,s.BRTH,s.BLJA,s.CACH,s.CAGO,s.CAWR,s.CEWA,s.CHSP,s.COGR,s.DEJU,s.EATO,s.EUST,s.FICR,s.HETH,s.HOFI,s.HOSP,s.HOWR,s.LAGU,s.MODO,s.NOCA,s.NOFL,s.NOMO,s.PIWA,s.RBNU,s.RBWO,s.RCKI,s.RWBL,s.SOSP,s.TUTI,s.WTSP,s.YRWA,,Rise,Set
2021-03-08,06:50,0.04,m,1,8,h1,0,0,,4,,,,,,,,,1,1,,,2,,,,,6,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,2,,,,4,,,,,,,,,1,1,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,06:25,18:06
2021-03-08,07:20,0.08,m,1,8,h2,0,0,,,,,,,,,,,2,,1,,,,,,,,,,,,,,2,,,,,,,,,,,,1,1,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,2,,,,,,,,,2,,,,,,,,1,,,,,,,1,,,,,,06:25,18:06
2021-03-08,07:37,0.10,m,1,8,h3,0,0,,,,3,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,2,,,,,,,,,2,,,,,1,,,,,,3,,,,,,,1,,,,,,,,,1,,,,,,,,,,2,,,,,1,,,,,,06:25,18:06
2021-03-08,08:10,0.15,m,1,8,h4,0,0,,,,1,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:25,18:06
2021-03-09,06:35,0.02,m,1,5,w1,0,0,,,,2,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,2,,,,,,,,,2,,,,06:24,18:07
2021-03-09,06:50,0.04,m,1,5,w2,0,0,,,,,,,,,,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,06:24,18:07
2021-03-09,07:00,0.05,m,1,5,w3,0,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,06:24,18:07
2021-03-09,07:20,0.08,m,1,5,w4,0,0,,1,,1,,,,,,,1,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,1,,,,,,,6,1,,,1,,,,,,,,1,1,,,2,,,,,,,,,,,,,1,,,,,,,,,,,,,,06:24,18:07
2021-03-09,07:45,0.12,m,1,5,w5,0,0,,,,7,,,,,,,1,,,,,,,,,,,,,1,,,3,,,,,,,,,,,,1,3,,1,,,,,,1,1,,,,,,,2,,,,,,3,,,,,,,1,,,,,,,,,,,,,,,,,2,,1,,,1,,,,,,,,06:24,18:07
2021-03-09,08:05,0.14,m,1,5,w6,0,0,,,,1,,,,,,,1,,,,,1,,,,1,,,,,,,1,,,,,1,,1,,,,1,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,1,,,1,,,1,,,,,1,,,,,,,1,,,,,,06:24,18:07
